interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
5730,5.438137,12.51043,20.30186,28.22289
5740,5.442745,12.51243,20.30309,28.22377
5750,5.447357,12.51443,20.30433,28.22466
5760,5.451972,12.51644,20.30556,28.22555
5770,5.456592,12.51845,20.30681,28.22645
5780,5.461215,12.52047,20.30805,28.22734
5790,5.465844,12.52249,20.30929,28.22823
5800,5.470476,12.52451,20.31054,28.22913
5810,5.475112,12.52653,20.31179,28.23003
5820,5.479752,12.52856,20.31304,28.23093
5830,5.484396,12.53059,20.31429,28.23183
5840,5.489044,12.53263,20.31555,28.23273
5850,5.493696,12.53466,20.3168,28.23364
5860,5.498353,12.5367,20.31806,28.23454
5870,5.503013,12.53875,20.31932,28.23545
5880,5.507678,12.54079,20.32059,28.23636
5890,5.512346,12.54284,20.32185,28.23727
5900,5.517018,12.5449,20.32312,28.23818
5910,5.521694,12.54695,20.32438,28.2391
5920,5.526375,12.54901,20.32566,28.24001
5930,5.531059,12.55107,20.32693,28.24093
5940,5.535747,12.55314,20.32821,28.24185
5950,5.540438,12.55521,20.32948,28.24276
5960,5.545135,12.55728,20.33076,28.24369
5970,5.549833,12.55936,20.33205,28.24461
5980,5.554537,12.56143,20.33333,28.24553
5990,5.559245,12.56351,20.33462,28.24646
6000,5.563956,12.5656,20.3359,28.24739
6010,5.568671,12.56769,20.33719,28.24831
6020,5.57339,12.56978,20.33848,28.24924
6030,5.578113,12.57187,20.33978,28.25018
6040,5.582839,12.57397,20.34107,28.25111
