time,frequency,datetime
1571124162.9,21.446142191,2019-10-15T07:22:42.900000Z
1571124181.12,16.8053738858,2019-10-15T07:23:01.120000Z
1571124200.89,21.8103885406,2019-10-15T07:23:20.890000Z
1571124204.15,20.5557622255,2019-10-15T07:23:24.150000Z
1571124221.37,16.7649020692,2019-10-15T07:23:41.370000Z
1571124239.81,21.5305884202,2019-10-15T07:23:59.810000Z
1571124242.77,20.4838497376,2019-10-15T07:24:02.770000Z
1571124262.3,17.2899547829,2019-10-15T07:24:22.300000Z
1571124282.63,20.4033313774,2019-10-15T07:24:42.630000Z
1571124285.32,22.1613155751,2019-10-15T07:24:45.320000Z
1571124303.49,16.973420228,2019-10-15T07:25:03.490000Z
1571124323.02,21.0293908655,2019-10-15T07:25:23.020000Z
1571124344.12,17.0386287592,2019-10-15T07:25:44.120000Z
1571124363.01,21.7206012956,2019-10-15T07:26:03.010000Z
1571124384.54,16.2691680916,2019-10-15T07:26:24.540000Z
1571124494.75,18.4422955513,2019-10-15T07:28:14.750000Z
1571124514.56,20.3802647455,2019-10-15T07:28:34.560000Z
1571124537.49,16.3505192782,2019-10-15T07:28:57.490000Z
1571124556.54,21.7337670398,2019-10-15T07:29:16.540000Z
1571124578.93,18.196204225,2019-10-15T07:29:38.930000Z
1571124618.6,16.7383316677,2019-10-15T07:30:18.600000Z
1571124638.52,20.6015665918,2019-10-15T07:30:38.520000Z
1571124662.31,16.898631872,2019-10-15T07:31:02.310000Z
1571124682.34,19.9122757132,2019-10-15T07:31:22.340000Z
1571124704.9,16.4497912999,2019-10-15T07:31:44.900000Z
1571124724.31,20.4235279043,2019-10-15T07:32:04.310000Z
1571124745.98,16.7566788095,2019-10-15T07:32:25.980000Z
1571124765.36,20.4386178183,2019-10-15T07:32:45.360000Z
1571124786.87,16.8321283794,2019-10-15T07:33:06.870000Z
1571124807.01,20.0010103131,2019-10-15T07:33:27.010000Z
1571124829.58,16.6571058668,2019-10-15T07:33:49.580000Z
1571124849.61,20.2960410313,2019-10-15T07:34:09.610000Z
1571124873.95,16.7569982047,2019-10-15T07:34:33.950000Z
1571124893.56,20.3959333691,2019-10-15T07:34:53.560000Z
1571124915.19,17.0566752182,2019-10-15T07:35:15.190000Z
1571124936.08,21.9772496873,2019-10-15T07:35:36.080000Z
1571124960.66,17.1559498579,2019-10-15T07:36:00.660000Z
1571124980.43,21.9203611937,2019-10-15T07:36:20.430000Z
1571124983.7,20.5265931015,2019-10-15T07:36:23.700000Z
1571124939.84,21.5790302324,2019-10-15T07:35:39.840000Z
1571125004.84,16.3310667013,2019-10-15T07:36:44.840000Z
1571125022.92,21.3656983815,2019-10-15T07:37:02.920000Z
1571125026.56,20.7114807055,2019-10-15T07:37:06.560000Z
1571125043.49,17.8464851723,2019-10-15T07:37:23.490000Z
1571125064.13,20.2876041784,2019-10-15T07:37:44.130000Z
1571125084.53,19.4688437664,2019-10-15T07:38:04.530000Z
1571125104.08,20.2572797187,2019-10-15T07:38:24.080000Z
